0h_01	0h_02	0h_03	0h_04	0h_05	0h_06	4h_01	4h_02	4h_03	4h_04	4h_05	4h_06	24h_01	24h_02	24h_03	24h_04	24h_05	24h_06	Only identified by site	Reverse	Potential contaminant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	iBAQ peptides	MS/MS count	Peptides 0h_01	Peptides 0h_02	Peptides 0h_03	Peptides 0h_04	Peptides 0h_05	Peptides 0h_06	Peptides 4h_01	Peptides 4h_02	Peptides 4h_03	Peptides 4h_04	Peptides 4h_05	Peptides 4h_06	Peptides 24h_01	Peptides 24h_02	Peptides 24h_03	Peptides 24h_04	Peptides 24h_05	Peptides 24h_06	Protein IDs	Majority protein IDs	Protein names	Gene names	id
26.7203845977783	26.859582901001	26.9786930084229	26.972131729126	26.7549362182617	27.1242561340332	26.8354511260986	26.6766719818115	26.6065368652344	26.8199462890625	26.6051254272461	27.126522064209	26.9682922363281	26.7843170166016	26.6511631011963	26.970157623291	27.1132678985596	27.1627902984619				24	24	24	37.3	37.3	37.3	98.241	0	110.41	10209000000	42	187	11	6	13	9	11	14	9	11	10	9	11	12	10	10	11	12	10	15	A0A068EW80;Q60953;Q60953-2;D3Z3A6;D3YXR5;F7BTZ2;Q8BSJ6;D3Z2V0;O89066;F6XUT1	A0A068EW80;Q60953;Q60953-2;D3Z3A6;D3YXR5;F7BTZ2;Q8BSJ6	Protein PML	Pml	13
27.5361595153809	27.3475646972656	27.0747985839844	27.4592018127441	27.3689460754395	27.5407466888428	27.6827774047852	27.7948875427246	27.640308380127	27.9762363433838	27.928747177124	27.9110794067383	27.6205177307129	27.4935817718506	27.7360858917236	27.742525100708	27.4576377868652	27.9056396484375				12	12	12	71.5	71.5	71.5	24.196	0	163.92	7840500000	15	93	2	4	6	2	3	5	5	8	4	9	7	6	5	4	4	5	4	4	A0A087WNP6;Q4VAA2-2;Q4VAA2;A0A087WRM0;F8WGL9;A0A087WS49	A0A087WNP6;Q4VAA2-2;Q4VAA2;A0A087WRM0	Protein CDV3	Cdv3	18
28.8785629272461	28.9270534515381	28.5400829315186	28.6011276245117	28.6823768615723	28.7529602050781	28.9514102935791	28.7744216918945	29.0339126586914	28.9893970489502	29.105770111084	28.9765357971191	28.8175086975098	28.8820953369141	28.7754898071289	28.8965740203857	28.8779773712158	28.8904991149902				10	10	10	77.9	77.9	77.9	10.657	0	263.51	25249000000	7	135	9	9	7	8	7	6	7	6	9	7	8	5	7	6	7	9	8	8	A0A087WQE6;A0A087WNT1;P83940;A0A087WPE4	A0A087WQE6;A0A087WNT1;P83940;A0A087WPE4	Transcription elongation factor B polypeptide 1	Tceb1	20
25.5237865447998	24.5471229553223	25.9269847869873	25.5834808349609	24.9042415618896	25.908504486084	25.8794212341309	26.1490325927734	25.9375076293945	26.3550281524658	25.9958477020264	26.0158023834229	24.4511966705322	24.4673976898193	23.7936573028564	23.6574668884277	25.0514049530029	23.9496803283691				7	7	6	19.2	19.2	17.5	53.974	0	30.003	1413900000	17	33	2	1	2	3	1	3	3	4	2	4	3	4	2	2	1	1	1	0	A0A087WNV1;A0A087WSR7;A0A087WR52;Q8K2K6-3;Q8K2K6-1;Q8K2K6;Q8K2K6-2;A0A087WRL1	A0A087WNV1;A0A087WSR7;A0A087WR52;Q8K2K6-3;Q8K2K6-1;Q8K2K6;Q8K2K6-2	Arf-GAP domain and FG repeat-containing protein 1	Agfg1	21
25.1636161804199	24.8147373199463	25.293758392334	24.4243011474609	23.9878978729248	24.5180416107178	25.1827945709229	24.9920482635498	25.1396961212158	25.582160949707	25.2691020965576	25.1512794494629	23.7625541687012	25.1173553466797	25.1097393035889	25.3871326446533	24.7054996490479	25.0760841369629				8	8	5	8	8	5.5	169.23	0	16.786	868550000	93	34	3	1	2	1	2	2	4	3	2	3	2	4	2	1	2	1	1	1	Q80TV8;A5D6Q8;E9QKH0;A0A087WRE8;E9QNY9;A0A087WP42;A0A087WRK0;A0A087WNW8;A0A087WQ95;A0A087WQF1;A0A087WS18;J3QP81;E9Q6L0;B2RY22;A0A087WQ31;Q80TV8-2;A0A0A6YXZ1;A0A0N4SUT7;Q8R337;A0A0N4SVH2;Q3TPM6	Q80TV8;A5D6Q8;E9QKH0;A0A087WRE8;E9QNY9;A0A087WP42;A0A087WRK0;A0A087WNW8;A0A087WQ95;A0A087WQF1;A0A087WS18;J3QP81;E9Q6L0;B2RY22;A0A087WQ31;Q80TV8-2;A0A0A6YXZ1	CLIP-associating protein 1	Clasp1	22
26.143009185791	25.9707736968994	26.2260417938232	26.3376636505127	26.3138904571533	26.3960742950439	26.2311420440674	26.183988571167	26.0919246673584	26.0853748321533	26.1367073059082	26.1497497558594	26.0342273712158	26.1527118682861	25.8405017852783	25.7547569274902	25.9341354370117	25.9290409088135				31	31	31	22.1	22.1	22.1	220.66	0	104.06	6540000000	98	195	13	11	13	16	17	15	11	11	7	13	12	16	12	12	8	10	7	8	A0A087WNZ7;G5E870;A0A087WRV6;A0A0B4J1N9;A0A087WQ02;A0A087WP92;Q3TP48;A0A087WS65;O88380;A0A087WSG4	A0A087WNZ7;G5E870;A0A087WRV6	E3 ubiquitin-protein ligase TRIP12	Trip12	24
27.1092872619629	27.0555858612061	27.3718566894531	26.9202537536621	26.9830493927002	27.2236137390137	27.1891441345215	27.0740833282471	27.1587505340576	27.1689224243164	27.0335960388184	27.2853336334229	27.0596141815186	26.8894824981689	27.0367431640625	26.629508972168	27.0607490539551	26.9134216308594				51	51	51	45.4	45.4	45.4	145.85	0	273.04	17532000000	76	365	21	20	26	24	20	28	21	21	24	26	17	22	21	19	18	15	15	15	A0A087WQ25;F8VQC7;A0A087WRS1;A0A087WQQ5;A0A087WNW3;A0A087WQI3;A0A087WQD0;A0A087WPX0;A0A087WP14;A0A087WP85;A0A087WP48;A0A087WPW5;A0A087WS23;A0A087WQG4;A0A087WS04;A0A087WQF8;A0A087WS29;Q61595;Q61595-15;Q61595-6;Q61595-9;Q61595-5;Q61595-10;Q61595-4;Q61595-11;Q61595-7;Q61595-12;Q61595-8;Q61595-3;Q61595-14;Q61595-2;Q61595-16;Q61595-13;Q6A0E9;A0A087WPY8;A0A087WR91	A0A087WQ25;F8VQC7;A0A087WRS1;A0A087WQQ5;A0A087WNW3;A0A087WQI3;A0A087WQD0;A0A087WPX0;A0A087WP14;A0A087WP85;A0A087WP48;A0A087WPW5;A0A087WS23;A0A087WQG4;A0A087WS04;A0A087WQF8;A0A087WS29;Q61595;Q61595-15;Q61595-6;Q61595-9;Q61595-5;Q61595-10;Q61595-4;Q61595-11;Q61595-7;Q61595-12;Q61595-8;Q61595-3;Q61595-14;Q61595-2;Q61595-16;Q61595-13	Kinectin	Ktn1	28
28.8766613006592	28.6519832611084	28.5160045623779	28.7234802246094	28.7535018920898	28.8677062988281	28.6002044677734	28.6285705566406	28.9302711486816	28.5715961456299	29.1513900756836	28.5994606018066	29.1493816375732	29.006031036377	29.0998153686523	28.9182929992676	28.748872756958	28.7684078216553				4	4	4	43.7	43.7	43.7	11.157	0	240.71	14536000000	3	51	3	3	3	4	4	3	4	3	2	3	3	2	4	4	4	3	4	4	A0A087WQH8	A0A087WQH8		Slc35a4	32
27.1909351348877	27.1009922027588	27.2860374450684	27.0621910095215	27.2975406646729	27.2435436248779	27.2660655975342	27.2260971069336	27.2995510101318	27.0969772338867	27.3207054138184	27.072244644165	27.1624050140381	26.9433555603027	26.9142208099365	26.0289688110352	27.1122741699219	27.0391521453857				30	30	29	25.2	25.2	24.5	198.98	0	121.89	11632000000	85	217	12	14	14	9	12	12	16	16	14	14	12	13	11	9	9	4	11	8	A0A087WQS0;A0A6I8MWZ2;A0A087WQM0;E9Q0S6;A0A1D5RM59;A0A087WQ94;A0A087WRU0;Q7TSV1;Q3U0Q9;Q7TPM8;Q9DBT6;Q8C6V6;A0A087WP40;A0A087WR29;Q8C323;A0A087WRZ8;A0A087WS32	A0A087WQS0;A0A6I8MWZ2;A0A087WQM0;E9Q0S6;A0A1D5RM59;A0A087WQ94;A0A087WRU0;Q7TSV1;Q3U0Q9;Q7TPM8;Q9DBT6		Tns1	33
28.5657997131348	28.5052528381348	28.5102062225342	28.3843860626221	28.3137168884277	28.3502216339111	28.7158107757568	28.7130928039551	28.713846206665	28.8597316741943	28.8720874786377	28.7634449005127	28.5233535766602	28.443675994873	28.4214572906494	28.4213771820068	28.3299694061279	28.3199729919434				32	32	30	71.2	71.2	69.8	51.209	0	233.53	23790000000	28	271	15	12	14	14	11	14	17	21	16	21	15	18	13	13	14	12	13	14	A0A087WQS2;Q9CQC6;A0A087WPF9;Q9CVI6;A0A087WS48	A0A087WQS2;Q9CQC6;A0A087WPF9	Basic leucine zipper and W2 domain-containing protein 1	Bzw1	35
24.6202621459961	24.2712535858154	24.1848125457764	25.4424781799316	25.1000213623047	25.7420120239258	25.854076385498	26.2122097015381	24.6821517944336	25.7387428283691	24.9469337463379	25.6723880767822	24.6637344360352	25.1436023712158	24.4867420196533	24.9362926483154	25.2764453887939	24.696569442749				7	7	7	19	19	19	55.257	0	18.706	1093600000	28	29	2	1	3	0	1	3	4	3	1	5	0	5	2	2	1	1	0	1	Q4FK85;Q3U607;A0A087WQT6;O89110	Q4FK85;Q3U607;A0A087WQT6;O89110	Caspase-8;Caspase-8 subunit p18;Caspase-8 subunit p10	Casp8	37
28.3180351257324	28.2337970733643	28.4121971130371	28.2928981781006	28.3370513916016	28.2511501312256	28.3844680786133	28.4539546966553	28.4599838256836	28.3244018554688	28.2839660644531	28.8029804229736	29.1656913757324	29.2435665130615	29.5473079681396	29.2737102508545	29.5327072143555	29.5868663787842				110	110	1	54.2	54.2	0.6	262.84	0	323.31	134040000000	109	1049	44	37	42	44	41	43	54	52	40	48	38	58	77	70	86	67	84	88	A0A087WR50;Q3UHL6;P11276;A0A087WS56;Q3UH17;A0A087WSN6;B9EHT6;B7ZNJ1;Q3TCF1;Q3UHR1;Q3TBB4;Q3TCL7;Q3UZF9;Q8R3F3;Q4KL80;Q99KD0;A0A087WS99;Q9Z1Z8;A0A087WQW8;Q9Z1Z7;A0A087WSU6;A0A087WQE0	A0A087WR50;Q3UHL6;P11276;A0A087WS56;Q3UH17;A0A087WSN6;B9EHT6;B7ZNJ1;Q3TCF1;Q3UHR1;Q3TBB4;Q3TCL7	Fibronectin;Anastellin	Fn1	38
29.0118007659912	28.980001449585	29.1118507385254	28.8880023956299	28.8266296386719	28.902193069458	28.8272647857666	28.9006958007813	28.8782405853271	28.7315292358398	28.8889617919922	28.6148433685303	29.2549152374268	29.2381534576416	29.1183013916016	29.1634368896484	29.0634517669678	28.9319915771484				16	16	16	56.2	56.2	56.2	49.039	0	236.71	32253000000	21	226	13	13	11	11	13	13	10	12	11	11	11	8	15	12	11	10	12	11	A0A087WRE7;Q8R0N6;Q8R0N6-2	A0A087WRE7;Q8R0N6;Q8R0N6-2	Hydroxyacid-oxoacid transhydrogenase, mitochondrial	Adhfe1	39
28.271240234375	28.0861835479736	28.342529296875	27.9087333679199	27.8960819244385	28.3981552124023	28.6716194152832	28.5295085906982	28.5238380432129	29.0364551544189	28.4742527008057	28.9588947296143	28.3842220306396	28.6203079223633	28.4176387786865	28.7306880950928	28.6934185028076	28.7944221496582				52	52	52	70.6	70.6	70.6	87.314	0	323.31	49194000000	38	422	21	24	22	18	17	21	25	29	22	28	25	25	21	23	23	28	25	29	Q8C3V4;Q3TW11;Q8C8M3;A0A087WSP5;Q9D323;Q8C497;P42225;Q99K94;Q91Y52;Q8CFQ1;A0A087WRI1;A0A087WSQ5	Q8C3V4;Q3TW11;Q8C8M3;A0A087WSP5;Q9D323;Q8C497;P42225;Q99K94	Signal transducer and activator of transcription;Signal transducer and activator of transcription 1	Stat1	43
28.9408645629883	28.9730091094971	28.922779083252	29.0156326293945	28.9389324188232	28.8787384033203	28.7488403320313	28.7105007171631	28.7973022460938	28.5764350891113	28.7477207183838	28.5229034423828	29.3210277557373	29.2497272491455	29.2594585418701	29.0914154052734	29.245267868042	29.072244644165				24	24	24	70.2	70.2	70.2	49.171	0	323.31	64503000000	18	363	17	19	17	19	17	18	16	15	18	19	20	18	21	21	21	20	18	21	A0A1S6GWJ2;A0A0A0MQ68;Q60759;Q8BVD4;Q8BV83;D3Z4I2	A0A1S6GWJ2;A0A0A0MQ68;Q60759;Q8BVD4	Glutaryl-CoA dehydrogenase, mitochondrial	Gcdh	44
25.5975589752197	26.2046546936035	26.2426357269287	25.698694229126	25.8989906311035	26.2359161376953	26.6263103485107	26.4777984619141	26.6306209564209	26.9460353851318	26.528995513916	26.9391002655029	25.7251777648926	24.0842838287354	25.7481174468994	25.5491313934326	25.5326709747314	25.8760280609131				26	26	25	13.5	13.5	13.2	302.43	0	121.28	4363600000	97	113	5	7	8	3	3	8	11	9	11	13	7	11	3	3	3	4	4	4	S4R2J9;A0A0A0MQ79;Q3TLH4-5;Q3TLH4;S4R294;S4R2L9;S4R209;S4R2E2;S4R298	S4R2J9;A0A0A0MQ79;Q3TLH4-5;Q3TLH4;S4R294	Protein PRRC2C	Prrc2c	46
29.217456817627	28.9325256347656	29.301929473877	29.1474895477295	29.214563369751	29.0422077178955	29.0241413116455	29.0506916046143	29.1434078216553	29.2427711486816	28.8056888580322	28.8777446746826	29.1246013641357	28.9978199005127	29.0100936889648	28.9484043121338	29.0881328582764	28.8864040374756				7	7	7	49	49	49	11.158	0	45.724	21442000000	6	63	5	5	2	5	3	3	6	3	5	4	5	3	5	4	4	4	4	3	Q545H7;A0A0A0MQ90;P97352	Q545H7;A0A0A0MQ90;P97352	Protein S100-A13	S100a13	48
24.5552253723145	25.8544616699219	24.8870525360107	25.4453029632568	24.9406890869141	26.3249855041504	26.3675804138184	24.2297191619873	26.0284423828125	26.2606735229492	23.687442779541	26.6092185974121	26.4248485565186	26.5700912475586	26.7411117553711	26.475435256958	26.7471446990967	25.6099834442139				4	4	4	40.5	40.5	40.5	15.193	0	11.088	1846700000	8	29	1	0	1	0	0	2	3	0	2	3	1	2	2	2	2	3	3	1	A0A0A0MQ99;E3WH32;V9GXX7;Q8K3D3;Q8K3D3-2;A2AN40	A0A0A0MQ99;E3WH32;V9GXX7;Q8K3D3;Q8K3D3-2	DNA repair protein SWI5 homolog	Swi5	49
24.8668880462646	24.9833316802979	24.8480930328369	25.5235347747803	25.7800979614258	25.1972694396973	24.2721176147461	24.6969451904297	24.4191913604736	24.3794631958008	25.896614074707	24.9219264984131	24.8947658538818	24.8669338226318	25.0007553100586	25.2901153564453	24.9393253326416	24.4137573242188				3	3	3	41.5	41.5	41.5	13.415	0	5.769	491910000	3	23	1	2	2	1	1	2	1	0	1	1	1	1	2	2	2	1	1	1	A0A0A0MQK7;O35473	A0A0A0MQK7;O35473	Nuclear nucleic acid-binding protein C1D	C1d	53
27.7953834533691	27.9229774475098	24.3135452270508	27.62380027771	27.8377380371094	23.8561191558838	27.3258590698242	27.5386028289795	27.7870597839355	24.9605960845947	25.4745330810547	27.476146697998	23.8713970184326	27.689525604248	25.3695430755615	23.9936771392822	27.7040481567383	26.1655521392822				6	6	1	37.1	37.1	11.2	27.146	0	66.201	3342900000	13	29	3	2	2	2	3	1	3	4	2	0	1	3	1	2	1	1	3	2	A0A0A6YVR9;I6L9E0;Q3U3J6;P09925	A0A0A6YVR9;I6L9E0;Q3U3J6;P09925	Surfeit locus protein 1	Surf1	57
25.5715847015381	25.0613918304443	26.9820709228516	24.4359092712402	24.8939094543457	27.3378162384033	26.8336429595947	27.2264652252197	27.1077919006348	27.2954406738281	25.0289287567139	27.1206016540527	26.9378662109375	26.7185573577881	26.8294143676758	24.5424003601074	26.707540512085	24.8749523162842				6	6	6	22.5	22.5	22.5	22.283	0	9.4763	2355400000	8	39	1	0	2	1	1	4	2	3	3	4	1	3	2	4	3	1	3	1	A0A0A6YVS2;Q3V4A0;Q921L3	A0A0A6YVS2;Q3V4A0;Q921L3	Transmembrane and coiled-coil domain-containing protein 1	Tmco1	58
24.1877212524414	24.9730606079102	23.871301651001	25.0383682250977	24.451171875	24.0330467224121	24.0976848602295	25.4487190246582	24.6038818359375	24.4014129638672	25.1118564605713	23.4449329376221	26.060604095459	26.0215110778809	26.0356960296631	24.6719017028809	24.6050033569336	24.7927303314209				2	2	2	14	14	14	18.476	0.00087146	2.476	445230000	7	16	1	1	1	1	1	1	0	2	0	0	1	1	2	2	2	0	0	0	A0A0A6YXR6;A0A0A6YVT1;Q62479;A0A0A6YXN9;A0A0A6YY75;Q64735-2;Q64735	A0A0A6YXR6;A0A0A6YVT1;Q62479;A0A0A6YXN9;A0A0A6YY75;Q64735-2;Q64735	Complement component receptor 1-like protein	Cr1l	59
26.5354614257813	26.5889225006104	26.730785369873	26.3808822631836	26.1488380432129	26.6684436798096	27.0983848571777	26.9314556121826	26.8280830383301	26.8580417633057	27.1873531341553	27.0773487091064	26.9008102416992	26.8043975830078	26.9413414001465	26.9074745178223	26.6396179199219	26.8598213195801				9	9	9	28	28	28	42.147	0	54.223	4557800000	11	85	3	4	6	4	4	5	6	7	2	5	3	6	5	6	4	3	3	5	A0A0A6YVU8;Q9JKV1;Q8VCI8;D3YUD8;A0A1S6GWG3	A0A0A6YVU8;Q9JKV1;Q8VCI8;D3YUD8;A0A1S6GWG3	Proteasomal ubiquitin receptor ADRM1	Gm9774;Adrm1	60
